13158.744050  0.204E-01  -.717E+00 -.560E-03    438.4414  .0421  0.64  -.005100    R 17Q 18
13160.343830  0.789E-02  0.699E+00 0.557E-03    664.2595  .0385  0.63  -.009000    R 21R 21
13160.741600  0.510E-04  0.702E+00 0.559E-03   1804.8773  .0262  0.63  -.009000    R 35R 35
13160.819530  0.135E-01  -.716E+00 -.561E-03    544.5651  .0404  0.63  -.008500    R 19Q 20
13161.613550  0.461E-02  0.700E+00 0.557E-03    793.2088  .0366  0.63  -.009000    R 23R 23
13161.917200  0.125E-03  0.702E+00 0.560E-03   1608.0680  .0276  0.63  -.009000    R 33R 33
13162.485260  0.253E-02  0.700E+00 0.557E-03    933.5311  .0347  0.63  -.009000    R 25R 25
13162.501230  0.835E-02  -.715E+00 -.560E-03    662.1021  .0385  0.63  -.009000    R 21Q 22
13162.675880  0.290E-03  0.701E+00 0.558E-03   1422.4995  .0292  0.63  -.009000    R 31R 31
13162.955440  0.130E-02  0.701E+00 0.558E-03   1085.2037  .0328  0.63  -.009000    R 27R 27
13163.020340  0.634E-03  0.701E+00 0.559E-03   1248.2019  .0310  0.63  -.009000    R 29R 29
13163.789150  0.486E-02  -.714E+00 -.561E-03    791.0332  .0366  0.63  -.009000    R 23Q 24
13164.182200  0.130E-03  -.712E+00 -.561E-03   1605.8030  .0276  0.63  -.009000    R 33Q 34
13164.678960  0.266E-02  -.714E+00 -.561E-03    931.3374  .0347  0.63  -.009000    R 25Q 26
13164.923080  0.303E-03  -.713E+00 -.561E-03   1420.2523  .0292  0.63  -.009000    R 31Q 32
13165.167040  0.137E-02  -.713E+00 -.561E-03   1082.9921  .0328  0.63  -.009000    R 27Q 28
13165.249740  0.662E-03  -.713E+00 -.562E-03   1245.9725  .0310  0.63  -.009000    R 29Q 30
