  0.1653447E-05 -5.742206840180    P 35Q 34    P 21P 21
 -0.3378309E-05 -6.377176180132    P 35Q 34    P 21Q 20
  0.9310079E-06 -6.456320722431    P 35Q 34    P 19P 19
 -0.1674644E-05 -7.034653518813    P 35Q 34    P 19Q 18
  0.5544844E-06 -7.101370703372    P 35Q 34    P 17P 17
 -0.8930599E-06 -7.621968087649    P 35Q 34    P 17Q 16
  0.3493640E-06 -7.677172088767    P 35Q 34    P 15P 15
 -0.5105408E-06 -8.139039577049    P 35Q 34    P 15Q 14
  0.2329284E-06 -8.183558581679    P 35Q 34    P 13P 13
 -0.3120566E-06 -8.585855774314    P 35Q 34    P 13Q 12
  0.1643874E-06 -8.620388520183    P 35Q 34    P 11P 11
 -0.2034959E-06 -8.962473859593    P 35Q 34    P 11Q 10
  0.1228722E-06 -8.987532174547    P 35Q 34    P  9P  9
 -0.1412797E-06 -9.269021275139    P 35Q 34    P  9Q  8
  0.9737072E-07 -9.284881578753    P 35Q 34    P  7P  7
 -0.1041263E-06 -9.505693096960    P 35Q 34    P  7Q  6
  0.8200419E-07 -9.512351091696    P 35Q 34    P  5P  5
 -0.8096740E-07 -9.672757284676    P 35Q 34    P  5Q  4
  0.7394509E-07 -9.669873516661    P 35Q 34    P  3P  3
 -0.6475783E-07 -9.770635848934    P 35Q 34    P  3Q  2
  0.7444028E-07 -9.757401651745    P 35Q 34    P  1P  1
  0.5263723E-07 -9.757401856891    P 35Q 34    R  1R  1
 -0.6782673E-07 -9.711463129588    P 35Q 34    R  1Q  2
  0.6403832E-07 -9.669874105180    P 35Q 34    R  3R  3
 -0.6812850E-07 -9.568966189033    P 35Q 34    R  3Q  4
  0.7485924E-07 -9.512351223038    P 35Q 34    R  5R  5
 -0.7436519E-07 -9.358317376358    P 35Q 34    R  5Q  6
  0.9108195E-07 -9.284881747765    P 35Q 34    R  7R  7
 -0.8679564E-07 -9.079970972021    P 35Q 34    R  7Q  8
  0.1165667E-06 -8.987530378915    P 35Q 34    R  9R  9
 -0.1078496E-06 -8.734249881743    P 35Q 34    R  9Q 10
  0.1573889E-06 -8.620387486416    P 35Q 34    R 11R 11
 -0.1424084E-06 -8.321427844560    P 35Q 34    R 11Q 12
  0.2244554E-06 -8.183559388502    P 35Q 34    R 13R 13
 -0.1996234E-06 -7.841749568429    P 35Q 34    R 13Q 14
  0.3382702E-06 -7.677172171403    P 35Q 34    R 15R 15
 -0.2968585E-06 -7.295427969081    P 35Q 34    R 15Q 16
  0.5388620E-06 -7.101370832300    P 35Q 34    R 17R 17
  0.9074342E-06 -6.456320666699    P 35Q 34    R 19R 19
 -0.4680814E-06 -6.682647626511    P 35Q 34    R 17Q 18
  0.1615432E-05 -5.742206214744    P 35Q 34    R 21R 21
  0.4191584E-03  1.179530558525    P 35Q 34    R 35R 35
 -0.7822274E-06 -6.003568208271    P 35Q 34    R 19Q 20
  0.3040132E-05 -4.959229450672    P 35Q 34    R 23R 23
  0.1650752E-03 -0.021053128521    P 35Q 34    R 33R 33
  0.6047991E-05 -4.107618308606    P 35Q 34    R 25R 25
 -0.1384873E-05 -5.258325905083    P 35Q 34    R 21Q 22
  0.6642980E-04 -1.143812278009    P 35Q 34    R 31R 31
  0.1271826E-04 -3.187629494262    P 35Q 34    R 27R 27
  0.2827061E-04 -2.199563367592    P 35Q 34    R 29R 29
 -0.2596498E-05 -4.447034548297    P 35Q 34    R 23Q 24
 -0.1402935E-03  0.598260279461    P 35Q 34    R 33Q 34
 -0.5153575E-05 -3.569785646659    P 35Q 34    R 25Q 26
 -0.5650724E-04 -0.542779995080    P 35Q 34    R 31Q 32
 -0.1082467E-04 -2.626650738950    P 35Q 34    R 27Q 28
 -0.2405144E-04 -1.617661301019    P 35Q 34    R 29Q 30
 -0.6210794E-02  0.213839544937    P 33P 33    P 35P 35
  0.4166093E-03  1.145164225301    P 33P 33    P 35Q 34
  0.2924641E-01  0.630000085580    P 33P 33    P 33P 33
  0.4552494E-03  1.157100678633    P 33P 33    P 33Q 32
 -0.2924852E-02 -0.839969199369    P 33P 33    P 31P 31
  0.1832331E-03  0.034342181744    P 33P 33    P 31Q 30
 -0.5971831E-03 -1.845903000331    P 33P 33    P 29P 29
  0.7799798E-04 -1.021396657468    P 33P 33    P 29Q 28
 -0.1762211E-03 -2.781643294229    P 33P 33    P 27P 27
  0.3509921E-04 -2.009421844256    P 33P 33    P 27Q 26
 -0.6248721E-04 -3.647865413627    P 33P 33    P 25P 25
  0.1669584E-04 -2.929332872916    P 33P 33    P 25Q 24
 -0.2513037E-04 -4.444617758059    P 33P 33    P 23P 23
  0.8394946E-05 -3.780825828481    P 33P 33    P 23Q 22
 -0.1117267E-04 -5.171757417050    P 33P 33    P 21P 21
  0.4462080E-05 -4.563639742623    P 33P 33    P 21Q 20
 -0.5417417E-05 -5.829086585711    P 33P 33    P 19P 19
  0.2507123E-05 -5.277550276898    P 33P 33    P 19Q 18
 -0.2842208E-05 -6.416427606040    P 33P 33    P 17P 17
  0.1489121E-05 -5.922352746893    P 33P 33    P 17Q 16
 -0.1605391E-05 -6.933640781462    P 33P 33    P 15P 15
  0.9349194E-06 -6.497867554896    P 33P 33    P 15Q 14
 -0.9730898E-06 -7.380646954582    P 33P 33    P 13P 13
  0.6203549E-06 -7.003931341312    P 33P 33    P 13Q 12
 -0.6316100E-06 -7.757432383392    P 33P 33    P 11P 11
  0.4348874E-06 -7.440405180998    P 33P 33    P 11Q 10
 -0.4384566E-06 -8.064054792461    P 33P 33    P  9P  9
