12800 7.75607E-11
12810 9.49676E-11
12820 1.15358E-10
12830 1.39249E-10
12840 1.67254E-10
12850 2.00098E-10
12860 2.38634E-10
12870 2.85141E-10
12880 3.41113E-10
12890 4.07809E-10
12900 4.87484E-10
12910 5.8291E-10
12920 6.97481E-10
12930 8.37292E-10
12940 1.01365E-9
12950 1.23119E-9
12960 1.50105E-9
12970 1.8377E-9
12980 2.2598E-9
12990 2.79126E-9
13000 3.50787E-9
13010 4.44793E-9
13020 5.68201E-9
13030 7.30316E-9
13040 9.41967E-9
13050 1.2145E-8
13060 1.56598E-8
13070 1.97757E-8
13080 2.37904E-8
13090 2.68085E-8
13100 2.80784E-8
13110 2.72626E-8
13120 2.47169E-8
13130 2.1486E-8
13140 1.83822E-8
13150 1.56271E-8
13160 1.32968E-8
13170 1.13772E-8
13180 9.81238E-9
13190 8.57674E-9
13200 7.55891E-9
13210 6.70786E-9
13220 5.99133E-9
13230 5.38326E-9
13240 4.86276E-9
13250 4.41885E-9
13260 4.0356E-9
13270 3.69585E-9
13280 3.39253E-9
13290 3.11973E-9
13300 2.87251E-9
13310 2.64712E-9
13320 2.44253E-9
13330 2.25186E-9
13340 2.073E-9
13350 1.90411E-9
13360 1.74358E-9
13370 1.59E-9
13380 1.44282E-9
13390 1.30005E-9
13400 1.16046E-9
13410 1.02326E-9
13420 8.87714E-10
13430 7.53131E-10
13440 6.18848E-10
13450 4.84032E-10
13460 3.48124E-10
13470 2.10623E-10
13480 7.10485E-11
13490 -7.10676E-11
13500 -2.16179E-10
