 -0.454002199047D+01 -0.694929033613D+00      0.222887      0.015047  11  10   9   8
 -0.467549241030D+01 -0.707904160535D+00      0.192588      0.013230  11  10  11  10
 -0.752768619709D+01 -0.812316182645D+00      0.004215      0.000806  11  10   1   2
 -0.685901027896D+01 -0.837811421957D+00      0.060047      0.001594  11  10   3   4
 -0.651947259278D+01 -0.865833478393D+00      0.121657      0.002271  11  10   5   6
 -0.630104403407D+01 -0.896865473350D+00      0.189381      0.002871  11  10   7   8
 -0.614726411365D+01 -0.931796079165D+00      0.263922      0.003410  11  10   9  10
 -0.606318787296D+01 -0.979951011623D+00      0.354544      0.003802  11  10  11  12
 -0.716834893152D+01 -0.765319022269D+00      0.096289      0.001127  12  11   2   1
 -0.637282186947D+01 -0.743423867094D+00      0.140689      0.002468  12  11   4   3
 -0.578618810751D+01 -0.722180051669D+00      0.182419      0.004388  12  11   6   5
 -0.522728371568D+01 -0.700566080221D+00      0.222550      0.007589  12  11   8   7
 -0.453372721978D+01 -0.676203316704D+00      0.260544      0.014996  12  11  10   9
 -0.467472146510D+01 -0.690563912330D+00      0.226261      0.013122  12  11  12  11
 -0.850096335120D+01 -0.800670787627D+00      0.022571      0.000303  12  11   0   1
 -0.724497332102D+01 -0.826513994393D+00      0.032300      0.001077  12  11   2   3
 -0.678079367750D+01 -0.854570935233D+00      0.092190      0.001738  12  11   4   5
 -0.650404732246D+01 -0.885172784421D+00      0.157216      0.002329  12  11   6   7
 -0.631253763208D+01 -0.918745587497D+00      0.227376      0.002870  12  11   8   9
 -0.617110609755D+01 -0.956111694264D+00      0.302913      0.003371  12  11  10  11
 -0.608766281552D+01 -0.100629592511D+01      0.391110      0.003760  12  11  12  13
 -0.797247139383D+01 -0.775508275605D+00      0.075240      0.000507  13  12   1   0
 -0.687608390653D+01 -0.751626714204D+00      0.123284      0.001498  13  12   3   2
 -0.624241070384D+01 -0.728760048432D+00      0.168447      0.002790  13  12   5   4
 -0.572201416869D+01 -0.706247251010D+00      0.211936      0.004641  13  12   7   6
 -0.520054727653D+01 -0.682966407360D+00      0.255214      0.007724  13  12   9   8
 -0.453250180578D+01 -0.656301385953D+00      0.298605      0.014861  13  12  11  10
 -0.467778496263D+01 -0.672100984768D+00      0.260150      0.012958  13  12  13  12
 -0.777478583013D+01 -0.814199464100D+00      0.004012      0.000630  13  12   1   2
 -0.708653953027D+01 -0.842386586982D+00      0.062284      0.001272  13  12   3   4
 -0.672953434298D+01 -0.872807722707D+00      0.125030      0.001847  13  12   5   6
 -0.649432861897D+01 -0.905735812326D+00      0.192073      0.002377  13  12   7   8
 -0.632233695955D+01 -0.941535923953D+00      0.263082      0.002876  13  12   9  10
 -0.619022330782D+01 -0.980955929047D+00      0.337880      0.003350  13  12  11  12
 -0.610693059529D+01 -0.103264422525D+01      0.421758      0.003739  13  12  13  14
 -0.744376656964D+01 -0.761624328451D+00      0.102148      0.000854  14  13   2   1
 -0.668233900385D+01 -0.737029874481D+00      0.150028      0.001805  14  13   4   3
