 -0.617959156492D+01 -0.790466139634D+00      0.008109      0.003069   2   1   2   1
 -0.663773693086D+01 -0.790466139641D+00      0.008109      0.001941   2   1   0   1
 -0.708219833432D+01 -0.830231017125D+00      0.041006      0.001270   2   1   2   3
 -0.537487260870D+01 -0.790466139632D+00      0.008109      0.006863   2   1   2   2
 -0.652795794897D+01 -0.775346421509D+00      0.013901      0.002150   3   2   3   2
 -0.694462027055D+01 -0.810191982438D+00      0.017012      0.001442   3   2   1   2
 -0.717847771582D+01 -0.868382100127D+00      0.115849      0.001176   3   2   3   4
 -0.571135121810D+01 -0.785551294334D+00      0.004201      0.004890   3   2   1   1
 -0.544908844482D+01 -0.793633442119D+00      0.003100      0.006382   3   2   3   3
 -0.556747564317D+01 -0.775106243629D+00      0.025309      0.005616   4   3   2   1
 -0.567171214997D+01 -0.773628356203D+00      0.030811      0.005056   4   3   4   3
 -0.736007424666D+01 -0.794751656409D+00      0.007976      0.000945   4   3   0   1
 -0.717589134946D+01 -0.843159899498D+00      0.073055      0.001164   4   3   2   3
 -0.728056821640D+01 -0.916718792118D+00      0.210402      0.001089   4   3   4   5
 -0.571445460731D+01 -0.786291022337D+00      0.015198      0.004876   4   3   2   2
 -0.555081622799D+01 -0.796912216687D+00      0.002588      0.005774   4   3   4   4
 -0.521023291292D+01 -0.766676323590D+00      0.050157      0.007991   5   4   3   2
 -0.535727250552D+01 -0.766323185530D+00      0.053902      0.006897   5   4   5   4
 -0.723238788679D+01 -0.813597813105D+00      0.022742      0.001084   5   4   1   2
 -0.732713086643D+01 -0.887997264219D+00      0.158205      0.001024   5   4   3   4
 -0.735621280612D+01 -0.972414926996D+00      0.309472      0.001039   5   4   5   6
 -0.657245903734D+01 -0.785025545888D+00      0.032027      0.002066   5   4   1   1
 -0.576655493175D+01 -0.787191465781D+00      0.021443      0.004630   5   4   3   3
 -0.564560409957D+01 -0.800521999338D+00      0.005444      0.005261   5   4   5   5
 -0.659989624167D+01 -0.766247578514D+00      0.074961      0.001990   6   5   2   1
 -0.502322503000D+01 -0.755953846183D+00      0.079241      0.009581   6   5   4   3
 -0.518652197631D+01 -0.756286639082D+00      0.081735      0.008138   6   5   6   5
 -0.789124433461D+01 -0.797288384906D+00      0.014652      0.000556   6   5   0   1
 -0.729376794374D+01 -0.843072662615D+00      0.080338      0.001035   6   5   2   3
 -0.742487654219D+01 -0.941575811711D+00      0.254031      0.000955   6   5   4   5
 -0.740602653475D+01 -0.103229640671D+01      0.400710      0.001019   6   5   6   7
 -0.637448428894D+01 -0.785026892954D+00      0.037853      0.002518   6   5   2   2
 -0.582809720234D+01 -0.788490469523D+00      0.023977      0.004356   6   5   4   4
 -0.572999196782D+01 -0.804592930164D+00      0.011203      0.004846   6   5   6   6
 -0.616967621960D+01 -0.753801603554D+00      0.107073      0.003040   7   6   3   2
 -0.490717825934D+01 -0.743047713313D+00      0.112506      0.010687   7   6   5   4
 -0.507983669939D+01 -0.743921166699D+00      0.113975      0.008996   7   6   7   6
 -0.757865664910D+01 -0.818706203583D+00      0.027596      0.000768   7   6   1   2
 -0.736794289001D+01 -0.882476626666D+00      0.156391      0.000981   7   6   3   4
 -0.748539157717D+01 -0.100031501424D+01      0.345321      0.000926   7   6   5   6
 -0.743437437937D+01 -0.109343493608D+01      0.475939      0.001022   7   6   7   8
 -0.713136887147D+01 -0.783021784218D+00      0.049065      0.001180   7   6   1   1
 -0.630130757215D+01 -0.785447652589D+00      0.040631      0.002709   7   6   3   3
 -0.588921125070D+01 -0.790334621213D+00      0.023186      0.004102   7   6   5   5
 -0.580475422221D+01 -0.809212408315D+00      0.019638      0.004507   7   6   7   7
 -0.723971082570D+01 -0.755888514965D+00      0.112326      0.001044   8   7   2   1
 -0.592776903543D+01 -0.739376838821D+00      0.142967      0.003843   8   7   4   3
