 21 4709.675220 4.890E-30 1.015E-01.05640.054 4218.76350.56-.007910       2 1 1 13       0 1 1 01                    P 95e     4445521221 1 1 1 5   189.0  191.0.12770.650 -0.70521421D+00  0.82697410D-09
 21 4712.257190 9.680E-30 1.007E-01.05670.055 4072.01420.57-.007856       2 1 1 13       0 1 1 01                    P 93e     4445521221 1 1 1 5   185.0  187.0.12910.657 -0.70517282D+00  0.16522893D-08
 21 4714.820640 1.880E-29 9.950E-02.05700.055 3928.33340.58-.007802       2 1 1 13       0 1 1 01                    P 91e     4445521221 1 1 1 5   181.0  183.0.13040.664 -0.70512958D+00  0.32509025D-08
 21 4715.814590 7.270E-30 1.097E-01.05650.055 4150.44250.56-.007883       2 1 1 13       0 1 1 01                    P 94f     4445521221 1 1 1 5   187.0  189.0.12840.653 -0.70519375D+00  0.11406309D-08
 21 4717.363590 3.610E-29 9.875E-02.05730.056 3787.72350.59-.007747       2 1 1 13       0 1 1 01                    P 89e     4445521221 1 1 1 5   177.0  179.0.13170.671 -0.70508434D+00  0.62984201D-08
 21 4718.254580 1.420E-29 1.081E-01.05680.055 4005.00190.57-.007829       2 1 1 13       0 1 1 01                    P 92f     4445521221 1 1 1 5   183.0  185.0.12970.661 -0.70515144D+00  0.22640100D-08
 21 4719.884690 6.810E-29 9.778E-02.05760.056 3650.18680.59-.007691       2 1 1 13       0 1 1 01                    P 87e     4445521221 1 1 1 5   173.0  175.0.13290.678 -0.70503701D+00  0.12015861D-07
 21 4720.668050 2.740E-29 1.068E-01.05710.056 3862.63550.58-.007775       2 1 1 13       0 1 1 01                    P 90f     4445521221 1 1 1 5   179.0  181.0.13100.668 -0.70510722D+00  0.44250571D-08
 21 4722.383020 1.260E-28 9.643E-02.05790.057 3515.72550.60-.007634       2 1 1 13       0 1 1 01                    P 85e     4445521221 1 1 1 5   169.0  171.0.13410.685 -0.70498740D+00  0.22571431D-07
 21 4723.055270 5.210E-29 1.057E-01.05740.056 3723.34590.59-.007719       2 1 1 13       0 1 1 01                    P 88f     4445521221 1 1 1 5   175.0  177.0.13230.674 -0.70506095D+00  0.85163239D-08
 21 4724.857950 2.310E-28 9.571E-02.05830.058 3384.34200.61-.007576       2 1 1 13       0 1 1 01                    P 83e     4445521221 1 1 1 5   165.0  167.0.13520.691 -0.70493536D+00  0.41747298D-07
 21 4725.416560 9.740E-29 1.044E-01.05780.057 3587.13520.60-.007662       2 1 1 13       0 1 1 01                    P 86f     4445521221 1 1 1 5   171.0  173.0.13350.681 -0.70501249D+00  0.16138535D-07
 21 4727.309070 4.160E-28 9.478E-02.05870.058 3256.03840.62-.007517       2 1 1 13       0 1 1 01                    P 81e     4445521221 1 1 1 5   161.0  163.0.13630.698 -0.70488068D+00  0.76023316D-07
 21 4727.752280 1.790E-28 1.029E-01.05810.057 3454.00580.61-.007605       2 1 1 13       0 1 1 01                    P 84f     4445521221 1 1 1 5   167.0  169.0.13470.688 -0.70496168D+00  0.30111972D-07
 21 4729.736140 7.370E-28 9.378E-02.05920.059 3130.81680.63-.007457       2 1 1 13       0 1 1 01                    P 79e     4445521221 1 1 1 5   157.0  159.0.13740.705 -0.70482320D+00  0.13630054D-06
 21 4730.062820 3.250E-28 1.019E-01.05850.058 3323.95990.62-.007546       2 1 1 13       0 1 1 01                    P 82f     4445521221 1 1 1 5   163.0  165.0.13580.695 -0.70490835D+00  0.55317394D-07
 21 4732.139040 1.290E-27 9.312E-02.05960.059 3008.67940.64-.007396       2 1 1 13       0 1 1 01                    P 77e     4445521221 1 1 1 5   153.0  155.0.13840.711 -0.70476266D+00  0.24058174D-06
 21 4732.348580 5.810E-28 1.008E-01.05890.058 3196.99960.63-.007487       2 1 1 13       0 1 1 01                    P 80f     4445521221 1 1 1 5   159.0  161.0.13690.701 -0.70485231D+00  0.10004958D-06
 21 4734.517710 2.210E-27 9.194E-02.06010.060 2889.62820.65-.007335       2 1 1 13       0 1 1 01                    P 75e     4445521221 1 1 1 5   149.0  151.0.13930.717 -0.70469883D+00  0.41804546D-06
 21 4734.609980 1.020E-27 9.953E-02.05940.059 3073.12710.64-.007427       2 1 1 13       0 1 1 01                    P 78f     4445521221 1 1 1 5   155.0  157.0.13790.708 -0.70479332D+00  0.17814856D-06
 21 4736.847450 1.770E-27 9.865E-02.05980.060 2952.34450.65-.007366       2 1 1 13       0 1 1 01                    P 76f     4445521221 1 1 1 5   151.0  153.0.13880.714 -0.70473116D+00  0.31228035D-06
 21 4736.872170 3.740E-27 9.108E-02.06050.061 2773.66500.66-.007272       2 1 1 13       0 1 1 01                    P 73e     4445521221 1 1 1 5   145.0  147.0.14020.723 -0.70463142D+00  0.71509009D-06
 21 4739.061410 3.020E-27 9.767E-02.06030.060 2834.65380.66-.007304       2 1 1 13       0 1 1 01                    P 74f     4445521221 1 1 1 5   147.0  149.0.13980.720 -0.70466560D+00  0.53886888D-06
 21 4739.202490 6.230E-27 9.023E-02.06100.062 2660.79200.67-.007209       2 1 1 13       0 1 1 01                    P 71e     4445521221 1 1 1 5   141.0  143.0.14100.729 -0.70456014D+00  0.12040734D-05
 21 4741.252290 5.060E-27 9.647E-02.06080.061 2720.05690.66-.007241       2 1 1 13       0 1 1 01                    P 72f     4445521221 1 1 1 5   143.0  145.0.14060.726 -0.70459629D+00  0.91532950D-06
