    6057.086100 0.1278E-20  104.7728 0.85 -.011977  r   4F11      4  .6720E-01   0.6683 -0.0481
    6057.099800 0.9061E-21  104.7747 0.85 -.011219  r   4E 1      4  .5360E-01   0.5420 -0.0520
    6057.127300 0.8694E-21  104.7800 0.85 -.013366  r   4F21      4  .5600E-01   0.6192 -0.0410
    6067.081600 0.8736E-21  157.1279 0.85 -.007833  r   5F11      5  .5840E-01   0.6154 -0.0427
    6067.099700 0.8478E-21  157.1243 0.85 -.005625  r   5F21      5  .6220E-01   0.6369 -0.0536
    6067.148500 0.6272E-21  157.1372 0.85 -.014975  r   5E 1      5  .5050E-01   0.5361 -0.0425
    6067.157000 0.7856E-21  157.1389 0.85 -.015644  r   5F12      5  .5890E-01   0.6008 -0.0549
    6076.928000 0.4893E-21  219.9135 0.85 -.010882  r   6E 1      6  .5330E-01   0.5518 -0.0602
    6076.935000 0.7814E-21  219.9368 0.85 -.006971  r   6F21      6  .5490E-01   0.6300 -0.0665
    6076.954000 0.1226E-20  219.9199 0.85 -.001815  r   6A21      6  .5710E-01   0.5683 -0.0563
    6077.028300 0.7325E-21  219.9413 0.85 -.021226  r   6F22      6  .5320E-01   0.6160 -0.0558
    6077.046600 0.7554E-21  219.9150 0.85 -.021792  r   6F11      6  .4110E-01   0.6124 -0.0241
    6077.063600 0.1223E-20  219.9452 0.85 -.011803  r   6A11      6  .5210E-01   0.5833 -0.0369
    6086.622900 0.6033E-21  293.1230 0.85 -.006914  r   7F11      7  .4850E-01   0.5940 -0.0360
    6086.635000 0.6233E-21  293.1266 0.85 -.009283  r   7F21      7  .6320E-01   0.6216 -0.0527
    6086.745400 0.1012E-20  293.1542 0.85 -.013384  r   7A21      7  .5280E-01   0.5319 -0.0469
    6086.779700 0.6026E-21  293.1646 0.85 -.010149  r   7F22      7  .5450E-01   0.5851 -0.0550
    6086.799400 0.4019E-21  293.1701 0.85 -.010661  r   7E 1      7  .3530E-01   0.4284 -0.0417
    6086.830700 0.5846E-21  293.1787 0.85 -.016532  r   7F12      7  .5100E-01   0.5472 -0.0594
    6096.166500 0.5361E-21  376.8048 0.85 -.008386  r   8A11      8  .4500E-01   0.4827 -0.0620
    6096.174300 0.7130E-21  376.7304 0.85 -.010708  r   8F11      8  .4840E-01   0.5812 -0.0488
    6096.180900 0.3225E-21  376.8213 0.85 -.010709  r   8E 1      8  .7610E-01   0.4731 -0.0394
    6096.372700 0.4636E-21  376.8263 0.85 -.011417  r   8F21      8  .5400E-01   0.5884 -0.0381
    6096.424400 0.4619E-21  376.7337 0.85 -.003740  r   8F12      8  .5250E-01   0.5735 -0.0593
    6096.485600 0.3157E-21  376.7356 0.85 -.022223  r   8E 2      8  .4270E-01   0.5296 -0.0406
    6096.501500 0.4430E-21  376.7859 0.85 -.017767  r   8F22      8  .4950E-01   0.5463 -0.0519
